url,data.cdc.gov,data.cms.gov,ddod.healthdata.gov_gov_only_links,dnav.cms.gov,federated_sources,healthdata.gov_only,open.fda.gov
healthcare.gov,0,1,1,1,1,1,0
http://ccwdata.org/index.php,0,1,0,0,1,0,0
http://download.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/medicare-provider-charge-data/downloads/partd_prescriber_puf_npi_drug_13.zip,0,1,0,0,1,0,0
http://innovation.cms.gov/initiatives/innovation-advisors-program,0,1,0,0,1,0,0
http://www.cms.gov/medicare/medicare-fee-for-service-payment/sharedsavingsprogram/downloads/aco-shared-savings-program-quality-measures.pdf,0,1,0,0,1,0,0
http://www.cms.gov/medicare/medicare-fee-for-service-payment/sharedsavingsprogram/quality_measures_standards.html,0,1,0,0,1,0,0
http://www.cms.gov/outreach-and-education/medicare-learning-network-mln/mlnmattersarticles/downloads/mm8239.pdf,0,1,0,0,1,0,0
http://www.cms.gov/research-statistics-data-and-systems/downloadable-public-use-files/provider-of-services/index.html,0,1,0,1,1,1,0
http://www.cms.gov/research-statistics-data-and-systems/statistics-trends-and-reports/medicare-provider-charge-data/part-d-prescriber.html,0,1,0,1,1,0,0
https://data.cms.gov/api/views/22eb-yjgb,0,1,0,0,1,0,0
https://data.cms.gov/api/views/22eb-yjgb/rows.csv?accesstype=download,0,1,0,0,1,0,0
https://data.cms.gov/api/views/22eb-yjgb/rows.json?accesstype=download,0,1,0,0,1,0,0
https://data.cms.gov/api/views/22eb-yjgb/rows.rdf?accesstype=download,0,1,0,0,1,0,0
https://data.cms.gov/api/views/22eb-yjgb/rows.xml?accesstype=download,0,1,0,0,1,0,0
https://data.cms.gov/api/views/2d4k-5n3h,0,1,0,0,1,0,0
https://data.cms.gov/api/views/2d4k-5n3h/rows.csv?accesstype=download,0,1,0,0,1,0,0
https://data.cms.gov/api/views/2d4k-5n3h/rows.json?accesstype=download,0,1,0,0,1,0,0
https://data.cms.gov/api/views/2d4k-5n3h/rows.rdf?accesstype=download,0,1,0,0,1,0,0
